                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9803,                 5.6137,                0.49424,                0.65838,                0.95823,                 0.9583,                 0.7395,                0.79794,                0.62326,                0.85232,                0.63402,                0.64515,                0.36722,                0.91015,                 3.1221,                0.41949,                 1.8175,                0.92986,              0.0033321,              0.0033321,              0.0033321
                      2,                0.83812,                 2.6813,                0.39135,                0.51316,                0.90045,                0.94834,                0.76624,                0.82868,                 0.6532,                0.90197,                 0.7146,                0.74749,                0.50588,                0.92124,                  2.244,                0.40822,                 1.4244,                0.94837,              0.0065995,              0.0065995,              0.0065995
                      3,                 0.8027,                 2.1218,                0.36718,                0.48397,                0.88655,                0.94485,                0.77715,                0.82586,                0.66208,                0.92458,                0.74056,                0.77528,                0.55892,                0.91755,                 1.9191,                0.38931,                 1.7195,                0.96253,              0.0098008,              0.0098008,              0.0098008
                      4,                0.75174,                 1.7397,                0.31942,                0.44968,                0.87193,                0.96182,                 0.7804,                0.83055,                0.68437,                0.94586,                0.75851,                0.79787,                0.61478,                0.84847,                 1.6018,                0.35317,                 1.8341,                0.93917,               0.009703,               0.009703,               0.009703
                      5,                 0.7042,                  1.467,                0.27972,                0.41862,                0.85873,                0.95812,                0.80474,                0.84177,                0.70012,                0.94821,                0.78924,                0.81805,                0.65061,                0.80664,                 1.4166,                0.30152,                 1.2236,                0.91788,               0.009703,               0.009703,               0.009703
                      6,                0.67675,                 1.3088,                0.25296,                0.39901,                0.85126,                0.96405,                0.79719,                0.83747,                0.70158,                0.95668,                0.78616,                0.81795,                0.66086,                  0.804,                 1.3705,                0.29506,                  1.468,                 0.9274,               0.009604,               0.009604,               0.009604
                      7,                0.65822,                 1.2064,                0.24108,                0.38549,                 0.8455,                0.96355,                0.79601,                 0.8378,                0.70457,                0.95682,                0.78699,                0.82178,                0.67686,                0.78278,                 1.2908,                0.27653,                 1.2488,                0.92374,               0.009505,               0.009505,               0.009505
                      8,                 0.6433,                 1.1266,                0.23228,                0.37459,                0.84178,                0.96988,                0.78149,                0.82662,                0.70066,                0.96172,                0.77329,                 0.8113,                0.67808,                0.77435,                 1.2319,                0.26354,                 1.4714,                0.91691,               0.009406,               0.009406,               0.009406
                      9,                0.63206,                 1.0631,                 0.2211,                0.36672,                0.83875,                0.97075,                0.79225,                0.83602,                0.70881,                0.96311,                0.78433,                0.82232,                0.69218,                0.77029,                 1.1516,                0.25399,                 1.3536,                0.91683,               0.009307,               0.009307,               0.009307
                     10,                0.62294,                 1.0262,                0.21243,                0.36084,                0.83654,                0.96818,                0.79663,                0.84279,                0.71615,                0.96062,                0.78786,                0.82801,                0.70306,                0.76852,                 1.1077,                0.24177,                 1.4382,                0.91864,               0.009208,               0.009208,               0.009208
                     11,                0.61482,                0.98662,                0.20455,                0.35472,                0.83388,                0.96949,                0.78239,                 0.8333,                0.71233,                0.96365,                 0.7749,                0.82013,                0.70128,                0.75357,                 1.1149,                0.24519,                 1.5351,                0.91111,               0.009109,               0.009109,               0.009109
                     12,                0.60895,                0.95785,                0.19874,                0.35099,                0.83273,                0.96881,                0.78699,                0.84206,                0.71853,                0.96276,                0.78077,                0.82888,                0.70785,                 0.7492,                 1.0956,                0.24429,                 1.3556,                0.91024,                0.00901,                0.00901,                0.00901
                     13,                 0.6021,                0.92821,                0.19486,                0.34673,                0.83077,                0.96845,                0.77571,                0.83394,                0.71346,                0.96199,                0.76934,                0.82195,                0.70669,                0.75125,                 1.0921,                0.24168,                 1.4688,                0.92338,               0.008911,               0.008911,               0.008911
                     14,                0.59984,                0.91086,                0.19182,                0.34414,                0.83016,                0.96692,                0.78717,                0.83848,                0.71715,                0.96117,                0.78017,                  0.828,                 0.7113,                0.74467,                 1.0515,                0.23226,                 1.3542,                0.92085,               0.008812,               0.008812,               0.008812
                     15,                0.59419,                0.88964,                0.18824,                0.33991,                0.82874,                0.96126,                0.79076,                0.83736,                0.71656,                0.95576,                0.78347,                 0.8269,                0.71222,                0.75051,                 1.0587,                0.23325,                 1.4414,                0.92663,               0.008713,               0.008713,               0.008713
                     16,                0.59102,                0.87419,                0.18699,                0.33813,                 0.8279,                0.96559,                0.78939,                0.83931,                0.71956,                0.95975,                0.78144,                0.82776,                 0.7159,                0.74061,                 1.0185,                0.22904,                  1.319,                0.91127,               0.008614,               0.008614,               0.008614
                     17,                0.58725,                0.85167,                0.18406,                0.33577,                0.82708,                0.97189,                0.78025,                0.83822,                0.72003,                0.96614,                0.77236,                0.82771,                0.71825,                0.73864,                0.99337,                0.22657,                 1.3651,                0.90865,               0.008515,               0.008515,               0.008515
                     18,                0.58351,                0.83565,                0.18107,                0.33346,                0.82563,                  0.973,                0.76984,                0.83678,                0.71917,                0.96883,                0.76276,                0.82639,                0.71806,                0.74191,                0.98116,                0.22431,                 1.3929,                0.91418,               0.008416,               0.008416,               0.008416
                     19,                0.58246,                0.83139,                0.18015,                0.33209,                0.82579,                 0.9689,                0.75869,                0.83159,                 0.7162,                0.96696,                0.75224,                0.82163,                0.71575,                0.74248,                 0.9863,                0.22493,                 1.4807,                0.91753,               0.008317,               0.008317,               0.008317
                     20,                0.57915,                0.81407,                0.17836,                0.32976,                0.82496,                0.95765,                0.75646,                0.83133,                0.71694,                0.95782,                0.74969,                0.82123,                0.71656,                0.73833,                0.97304,                0.22309,                 1.4656,                 0.9124,               0.008218,               0.008218,               0.008218
                     21,                0.57609,                0.80035,                0.17579,                0.32784,                0.82388,                0.94144,                0.75789,                0.83189,                0.71739,                0.94292,                0.75146,                0.82225,                0.71771,                0.73628,                0.96816,                0.22143,                 1.4383,                0.91075,               0.008119,               0.008119,               0.008119
                     22,                0.57434,                0.79627,                0.17459,                0.32677,                0.82394,                0.94952,                 0.7599,                0.83176,                0.71782,                 0.9497,                0.75371,                0.82227,                0.71827,                0.73356,                0.96366,                0.22024,                 1.4128,                0.90898,                0.00802,                0.00802,                0.00802
                     23,                0.57239,                0.78895,                 0.1738,                0.32518,                0.82301,                0.94793,                0.75899,                0.83063,                0.71744,                0.94915,                0.75263,                0.82164,                0.71848,                0.73125,                0.95845,                0.22029,                 1.3837,                0.90651,               0.007921,               0.007921,               0.007921
                     24,                 0.5706,                0.77643,                0.17199,                0.32438,                0.82277,                0.95853,                0.75768,                0.82957,                0.71705,                0.95636,                0.75256,                0.82088,                0.71865,                0.73077,                0.95504,                0.22022,                 1.3691,                 0.9065,               0.007822,               0.007822,               0.007822
